0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:45:59 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:45:59 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4805
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:47:05 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:47:05 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4801
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:47:46 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:47:46 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4805
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:48:33 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:48:33 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:49:07 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:49:07 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:49:53 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:49:53 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:50:36 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:50:36 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:52:01 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:52:01 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:52:47 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:52:47 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4819
